"pid","hid","age","sex","n.samples","wave","reporting.day","typical.day","n.contact.total","n.locations","n.loc.group","n.contact.0-4","n.contact.5-19","n.contact.20-39","n.contact.40-64","n.contact.65+","n.contact.touch","n.contact.0-4.touch","n.contact.5-19.touch","n.contact.20-39.touch","n.contact.40-64.touch","n.contact.65+.touch","n.contact.home","n.contact.school","n.contact.work","n.contact.other"
65,65,20,"F",4,"R4","Saturday","yes",2,1,"0",0,0,1,1,0,2,0,0,1,1,0,2,0,0,0
67,67,78,"M",4,"R4","Saturday",NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
774,540,79,"M",3,"R4","Saturday","no",2,1,"0",0,0,0,1,1,1,0,0,0,0,1,2,0,0,0
72,72,51,"M",4,"R4","Saturday","no",6,6,"5",0,0,1,5,0,2,0,0,1,1,0,2,0,0,6
74,74,54,"F",3,"R4","Saturday","no",5,3,"2",0,0,1,4,0,3,0,0,1,2,0,4,0,0,2
75,75,59,"F",3,"R4","Saturday","yes",14,7,"6+",1,1,10,0,2,9,1,1,7,0,0,5,0,0,12
1038,737,NA,"F",4,"R4","Saturday","yes",1,1,"0",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
76,76,60,"F",3,"R4","Saturday","yes",3,3,"2",0,0,2,1,0,2,0,0,1,1,0,2,0,0,2
78,78,55,"F",3,"R4","Saturday","yes",9,5,"4",1,0,3,3,2,5,1,0,3,1,0,3,0,3,4
79,79,29,"F",3,"R4","Saturday","yes",13,4,"3",0,0,6,7,0,5,0,0,3,2,0,2,0,0,13
80,80,54,"F",4,"R4","Saturday","yes",5,4,"3",0,0,3,2,0,1,0,0,0,1,0,1,0,0,5
780,546,66,"F",4,"R4","Saturday","yes",6,4,"3",0,0,1,3,2,1,0,0,0,0,1,1,0,0,5
81,81,54,"F",4,"R4","Saturday","no",3,1,"0",0,1,1,1,0,0,0,0,0,0,0,3,0,0,0
1448,549,52,"F",1,"R4","Saturday","yes",8,3,"2",0,0,2,5,1,4,0,0,0,3,1,1,0,5,2
1449,124,36,"F",1,"R4","Saturday","yes",5,2,"1",1,1,2,1,0,2,1,1,0,0,0,3,0,2,0
